user,location,gender,followers,text,created_time,comments,good
a土人,北京 怀柔区,f,222714,"简要说明一下我与 @谷大白话 的合作方式。

同为脱口秀爱好者，我和谷大白话很早就在微博认识了。三年前谷大白话邀请我帮他做视频翻译，我明确说过我不做职业枪手。他说他未来会把谷大白话转型成一个团队，把我以团队成员的身份带到前台。当时我希望未来能在影视行业发展，于是同意与他合作。

从2016 ​",Sun Jan 06 19:19:31 +0800 2019,2337,11191
GEM鄧紫棋,香港 其他,f,28471406,"继新说唱后，再一次冠军～请叫我锦鲤😝
开玩笑！不是因为幸运，是因为挺齐全战队的每一位真的都付出很多努力！我很荣幸见证你们逐步成长，很骄傲！继续加油！
#下一站传奇# @William威廉陈伟霆 @胡海泉 
P.S.超越妹妹这张图我P了很久，还是P成像叼了朵花⋯原谅我[泪] ​",Mon Jan 07 00:38:24 +0800 2019,7371,28738
中国新闻网,北京 西城区,m,44067873,【税务局会根据房租抵扣信息征税？回应：没接到追征通知】住房租金可以抵扣个税了，但房东却担忧税务部门会根据信息找其征税。对此，记者咨询国家税务总局12366纳税服务平台，客服表示目前没有接到根据专项附加扣除信息追征房租相关税费的通知。专家表示，以担心被税务局追缴税费的理由来阻挠房客抵扣 ​,Mon Jan 07 11:26:55 +0800 2019,2893,5385
芒果娱乐,北京 朝阳区,f,2695746,"#胡歌是保密局的吧# 胡歌低调亮相超级IP风云盛典，让粉丝也惊喜直呼：胡歌是保密局的吧[笑cry]行走的大长腿，亮相红毯就是惊艳[跪了]
#芒果娱乐[超话]# ​",Sun Jan 06 22:28:27 +0800 2019,2049,26132
杨紫,北京 东城区,f,41642349,我会啦～明天看我的吧！#杨紫瘦time# #明星制片人微计划# http://t.cn/EGKexRG ​,Sun Jan 06 20:00:12 +0800 2019,3890,48526
综艺娘,海外,f,2141204,"#欧阳娜娜 可爱#
欧阳娜娜成长记，一个从小可爱到大的小姐姐[米奇比心][米奇比心] ​",Sun Jan 06 22:50:48 +0800 2019,2315,21545
同道大叔,北京 东城区,m,16835657,"好的感情一定是会让你变得更好的
变得自信 变得温柔
变得愿意去发现对方身上的光芒万丈 
去呵护彼此的小小心思
好的感情是你身边的朋友都觉得你现在的状态可真好啊
你说对吧 ​",Mon Jan 07 00:55:08 +0800 2019,1323,13686
头条新闻,北京,f,59601927,【数百名被拐儿童已救出，名单和照片公布：请帮孩子早点回家！】近日数百名被警方解救的被拐儿童的名单和照片公布了，他们至今仍未找到自己的亲人。他们被拐卖时，有的刚出生几天，可能从未在父母怀中撒过娇，至今不曾感受过爸爸妈妈的爱， 请帮这些宝贝回家！多个转发，多个希望！(中央政法委长安剑) ​,Sun Jan 06 23:40:03 +0800 2019,765,1981
喜脉洗脉,辽宁,f,5874621,#父母做过哪些你觉得很酷的事#  来来来评论见 ​,Sun Jan 06 17:18:24 +0800 2019,16896,10529
AbbyPollock,海外 加拿大,f,295722,#冬天减肥比搞对象还难# 在这个充满了饥饿感的季节，看到高热量食品根本把持不住[笑cry] ​,Mon Jan 07 11:15:36 +0800 2019,1462,6813
华西都市报,四川 成都,f,14763704,【分手4个月 她却要帮前男友还贷款 前男友：最近手头紧，后面再想办法补上[并不简单]】#分手4个月帮前男友还贷#去年，家住重庆的龙女士交往了一个男朋友，不到半年就分手了。前男友和她交往期间，曾利用她的身份信息在多个网贷平台上贷款，总金额接近两万元。之前，前男友确实也在按时还钱，但最近几个 ​,Mon Jan 07 11:21:04 +0800 2019,2366,5645
刘春,北京,m,10245839,长者和我谈笑风生。 ​,Sun Jan 06 19:15:18 +0800 2019,1057,2997
炎亞綸_AaronYan,台湾 台北市,m,18572494,"#炎亚纶[超话]# 嘿學妹，流川綸謝謝你們今日的應援～流川楓！流川楓！我愛你！
學長要睡了，奈奈 ​",Sun Jan 06 23:21:05 +0800 2019,11550,24412
梨视频,北京,m,14253251,【#权健百亿帝国崩塌始末#：从丁香医生起底，到束昱辉等人被刑拘，仅隔14天[思考]】从2018年12月25日@丁香医生 发文起底权健，到12月27日天津市成立联合调查组进驻权健，再到2019年1月7日束昱辉等18人被依法刑事拘留……仅仅相隔两周，进展神速。一分钟带你看完权健百亿保健帝国崩塌全过程。@老板联播  ​,Mon Jan 07 09:58:29 +0800 2019,2631,9471
阿信,台湾 台北市,m,21969397,"燈亮起時  你就在光暈裡
幕落下時  你還在我心裡

謝謝你  
讓我出現在你的自傳裡

今晚
人生無限公司 No.122 最終場

. ​",Sun Jan 06 17:28:57 +0800 2019,12364,39405
梦济南,山东 济南,f,694382,#猪年限定#今天看到的此图小伙伴10秒内转发点赞，往后余生，发财暴富！[色] ​,Sun Jan 06 22:36:47 +0800 2019,420,12843
